id,name,result,wpca:d1,wpca:d2,color,r,opacity,party
mp_PetarShkundric,"Shkundric, Petar (SPS)",1,0.64887324,0.388041599,red,0.05,0.7,SPS
mp_PredragDrMijatovic,"Mijatovic, Predrag (SNS)",1,0.592873385,-0.320085907,blue,0.05,0.7,SNS
mp_RadmiloKostic,"Kostic, Radmilo (SNS)",1,1.046079679,-0.321189137,blue,0.05,0.7,SNS
mp_RadoslavDrJovic,"Jovic, Radoslav (SNS)",1,0.423430175,-0.300773288,blue,0.05,0.7,SNS
mp_SabinaDazdarevic,"Dazdarevic, Sabina (SDA)",1,-3.870000848,3.467697594,darkgrey,0.05,0.7,SDA
mp_SanjaNikolic,"Nikolic, Sanja (SNS)",1,1.192487063,-0.018374455,blue,0.05,0.7,SNS
mp_SanjaTutsakovic,"Tutsakovic, Sanja (Non-affiliated)",1,0.509411925,0.49371486,grey,0.05,0.7,Non-affiliated
mp_SashaMaksimovic,"Maksimovic, Sasa (SNS)",1,1.111662389,0.014640656,blue,0.05,0.7,SNS
mp_SashaMirkovic,"Mirkovic, Sasa (Non-affiliated)",1,0.209589934,-0.039811187,grey,0.05,0.7,Non-affiliated
mp_SinishaMaksimovic,"Maksimovic, Sinisa (SPS)",1,0.948829171,0.168577757,red,0.05,0.7,SPS
mp_SlavitsaDjukicDejanovic,"Djukic Dejanovic, Slavica (SPS)",1,0.632124149,-0.539768734,red,0.05,0.7,SPS
mp_SlobodanDrGvozdenovic,"Gvozdenovic, Slobodan (SNS)",1,1.161327851,0.017098034,blue,0.05,0.7,SNS
mp_SlobodanHomen,"Homen, Slobodan (Non-affiliated)",1,-1.661158902,1.598854027,grey,0.05,0.7,Non-affiliated
mp_SlobodanPeric,"Peric, Slobodan (SNS)",1,-2.978245456,-4.611588335,blue,0.05,0.7,SNS
mp_SonjaVlahovic,"Vlahovic, Sonja (SNS)",1,1.257542327,-0.075997125,blue,0.05,0.7,SNS
mp_SrgjanDragojevic,"Dragojevic, Srdjan (SPS)",1,0.771387468,0.219515327,red,0.05,0.7,SPS
mp_SrgjanKruzhevic,"Kruzevic, Srdjan (JS)",1,0.616359531,0.09750776,darkviolet,0.05,0.7,JS
mp_StefanaMiladinovic,"Miladinovic, Stefana (SPS)",1,0.442249599,-0.862244139,red,0.05,0.7,SPS
mp_SuzanaSharats,"Sarac, Suzana (SNS)",1,0.953847072,0.153745029,blue,0.05,0.7,SNS
mp_SuzanaSpasojevic,"Spasojevic, Suzana (SPS)",1,0.984950907,0.119571143,red,0.05,0.7,SPS
mp_SvetislavVukmiritsa,"Vukmirica, Svetislav (SNS)",1,1.194514899,-0.079372477,blue,0.05,0.7,SNS
mp_TanjaTomashevicDamnjanovic,"Tomasevic Damnjanovic, Tanja (SNS)",1,1.247481241,-0.068400526,blue,0.05,0.7,SNS
mp_VanjaVukic,"Vukic, Vanja (SPS)",1,0.804871144,-0.300338697,red,0.05,0.7,SPS
mp_VeliborStojkovic,"Stojkovic, Velibor (SNS)",1,0.359822499,-0.742232127,blue,0.05,0.7,SNS
mp_VelimirStanojevic,"Stanojevic, Velimir (NS)",1,1.061453337,-0.00474356,violet,0.05,0.7,NS
mp_VelinkaToshic,"Tosic, Velinka (SNS)",1,1.257293549,-0.075155383,blue,0.05,0.7,SNS
mp_VeraPaunovic,"Paunovic, Vera (PUPS)",1,0.97027937,-0.03328749,darkred,0.05,0.7,PUPS
mp_VeroljubArsic,"Arsic, Veroljub (Non-affiliated)",1,1.155787107,-0.0349615,grey,0.05,0.7,Non-affiliated
mp_VeroljubMatic,"Matic, Veroljub (Non-affiliated)",1,0.464102333,-0.439191826,grey,0.05,0.7,Non-affiliated
mp_VesnaDrRakonjats,"Rakonjac, Vesna (SNS)",1,1.088856938,0.029286672,blue,0.05,0.7,SNS
mp_VesnaDrSimic,"Simiæ, Vesna (SNS)",1,1.234334202,-0.047594699,blue,0.05,0.7,SNS
mp_VesnaMarjanovic,"Marjanovic, Vesna (DS)",1,-2.175246767,1.955903164,gold,0.05,0.7,DS
mp_VesnaMarkovic,"Markovic, Vesna (SNS)",1,1.183695914,-0.005876194,blue,0.05,0.7,SNS
mp_VesnaMartinovic,"Martinoviæ, Vesna (DS)",1,-5.701715392,-3.058503956,gold,0.05,0.7,DS
mp_VesnaProfDrBesarovic,"Besarovic, Vesna (SDPS)",1,0.540059141,0.236499404,orange,0.05,0.7,SDPS
mp_VioletaLutovats,"Lutovac, Violeta (SNS)",1,1.255571174,-0.073941232,blue,0.05,0.7,SNS
mp_VladanMiloshevic,"Milosevic, Vladan (SNS)",1,1.008597559,0.013277102,blue,0.05,0.7,SNS
mp_VladetaKostic,"Kostic, Vladeta (SNS)",1,0.526815961,-0.396404311,blue,0.05,0.7,SNS
mp_VladimirDjukanovic,"Djukanovic, Vladimir (SNS)",1,0.943972907,0.128875434,blue,0.05,0.7,SNS
mp_VladimirDrOrlic,"Orlic, Vladimir (SNS)",1,1.256329047,-0.074520646,blue,0.05,0.7,SNS
mp_VladimirPetkovic,"Petkovic, Vladimir (SNS)",1,1.255677712,-0.075891709,blue,0.05,0.7,SNS
mp_VladimirProfDrMarinkovic,"Marinkovic, Vladimir (SDPS)",1,0.908327016,0.079548149,orange,0.05,0.7,SDPS
mp_VladitsaDimitrov,"Dimitrov, Vladitsa (SNS)",1,1.000705934,-0.215706187,blue,0.05,0.7,SNS
mp_VladoBabic,"Babic, Vlado (SNS)",1,0.899567698,0.194817537,blue,0.05,0.7,SNS
mp_VojislavVujic,"Vujic, Vojislav (JS)",1,0.504020058,0.068456328,darkviolet,0.05,0.7,JS
mp_VuchetaToshkovic,"Toskovic, Vuceta (SNS)",1,1.257542327,-0.075997125,blue,0.05,0.7,SNS
mp_ZharkoBogatinovic,"Bogatinovic, Zarko (SNS)",1,1.256193653,-0.075214288,blue,0.05,0.7,SNS
mp_ZharkoMicin,"Micin, Zarko (SNS)",1,1.236845898,-0.067068734,blue,0.05,0.7,SNS
mp_ZharkoProfDrObradovic,"Obradovic, Zarko (SPS)",1,1.10419597,-0.018029017,red,0.05,0.7,SPS
mp_ZheljkoSushets,"Susec, Zeljko (SNS)",1,0.901697738,0.258931341,blue,0.05,0.7,SNS
mp_ZhikaGojkovic,"Gojkovic, Zika (SPO)",1,0.393995491,-0.16722813,darkkhakki,0.05,0.7,SPO
mp_ZhivanDjurishic,"Djurisic, Zivan (SNS)",1,1.257542327,-0.075997125,blue,0.05,0.7,SNS
mp_ZlataDjeric,"Djeric, Zlata (NS)",1,-4.906693806,-4.533927533,violet,0.05,0.7,NS
mp_ZoltánPékZoltanPek,"Pék, Zoltán (SVM)",1,1.046376272,0.016980195,green,0.05,0.7,SVM
mp_ZoranAntic,"Antic, Zoran (Non-affiliated)",1,1.08748948,-0.002146229,grey,0.05,0.7,Non-affiliated
mp_ZoranBabic,"Babic, Zoran (SNS)",1,1.127768382,-0.104463007,blue,0.05,0.7,SNS
mp_ZoranBojanic,"Bojanic, Zoran (SNS)",1,1.260807728,-0.076328108,blue,0.05,0.7,SNS
mp_ZoranJozic,"Jozic, Zoran (SNS)",1,0.913537268,-0.117749809,blue,0.05,0.7,SNS
mp_ZoranMilekic,"Milekic, Zoran (SNS)",1,0.149569777,-0.453299604,blue,0.05,0.7,SNS
mp_ZoranPralitsa,"Pralica, Zoran (SNS)",1,0.423420836,-0.367827007,blue,0.05,0.7,SNS
mp_ZvonimirStevic,"Stevic, Zvonimir (SPS)",1,0.763377438,0.246776306,red,0.05,0.7,SPS
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
