normal_x,normal_y,cl_beta0,loss,id,motion:name,included
5.944713285,-3.050432532,201.0163853,633.2699928,5501704f273a3961a60f3699,5501704f273a3961a60f3699,0
-7.96654715,0.919014727,-221.5528336,982.5949892,55016f8f273a3961a60d5a60,55016f8f273a3961a60d5a60,0
-5.776027459,-4.479301519,-192.9567105,1261.313065,55016cf2273a3961a606bcd0,55016cf2273a3961a606bcd0,0
0.985326677,-0.217540491,46.15672994,58.16459554,55016cd1273a3961a6066750,55016cd1273a3961a6066750,0
9.039732058,0.24511112,165.2760075,875.1872698,55016ceb273a3961a606ac30,55016ceb273a3961a606ac30,0
7.41712103,-1.739003459,-134.4590846,0,55017242273a3961a614077a,55017242273a3961a614077a,0
10.25598753,1.305929971,-40.35639705,0,55016bd8273a3961a603e368,55016bd8273a3961a603e368,0
-7.568776118,0.911923791,-254.1081629,53.95785883,55017166273a3961a611ed70,55017166273a3961a611ed70,0
0.074261817,-0.158712605,-2.169750685,7.311811126,55017345273a3961a61687b2,55017345273a3961a61687b2,0
-5.980881913,1.709456115,-209.5858755,961.7968267,550172b5273a3961a6152362,550172b5273a3961a6152362,0
-0.06961976,0.159639574,2.042731648,7.329935197,55016ed7273a3961a60b8d98,55016ed7273a3961a60b8d98,0
-8.557861833,2.026458181,-150.9491423,606.921655,55016c13273a3961a6047911,55016c13273a3961a6047911,0
-9.962166761,-1.161059839,-138.3405874,0,55016d84273a3961a60839fe,55016d84273a3961a60839fe,0
-2.337987177,-1.258788753,-94.09570319,71.46169358,550170c5273a3961a6105738,550170c5273a3961a6105738,0
-5.242663913,-0.823392891,-193.7398869,1520.703507,55016d2e273a3961a6075734,55016d2e273a3961a6075734,0
3.471753402,-0.806073779,139.7475021,692.426484,55017317273a3961a6161346,55017317273a3961a6161346,0
0.154071941,0.079667376,7.618274119,0.659889651,5501711f273a3961a6113ecc,5501711f273a3961a6113ecc,0
9.809047693,0.841031894,89.98605088,0,55016df8273a3961a6096086,55016df8273a3961a6096086,0
2.203877607,-0.877109314,102.7748331,267.6318345,55016c9a273a3961a605d2d8,55016c9a273a3961a605d2d8,0
-8.01886404,1.11536046,191.0187302,45.13365854,550170e3273a3961a610a338,550170e3273a3961a610a338,0
7.778861243,1.352143457,164.9158872,961.8870205,55016c21273a3961a6049b95,55016c21273a3961a6049b95,0
6.820706617,-1.734851561,236.4310825,259.3929565,55016f21273a3961a60c4b98,55016f21273a3961a60c4b98,0
-0.136378271,-0.019057518,-1.730702665,0,55017000273a3961a60e7044,55017000273a3961a60e7044,0
-6.299637145,0.800768198,-178.831093,35.01417918,5501708e273a3961a60fcfd4,5501708e273a3961a60fcfd4,0
-7.87589634,0.039435892,-169.0771568,913.4719723,55016f26273a3961a60c5778,55016f26273a3961a60c5778,0
1.060377282,2.733096916,68.02992792,141.5819782,55016bd6273a3961a603dea8,55016bd6273a3961a603dea8,0
2.375041934,-1.49720278,71.24378896,0,55016c68273a3961a6055038,55016c68273a3961a6055038,0
-9.55498416,-1.551623142,-16.2875157,0,55016d45273a3961a6079164,55016d45273a3961a6079164,0
0.166049995,0.101925912,1.730702752,0,55017251273a3961a6142b1a,55017251273a3961a6142b1a,0
5.671214639,2.461401121,209.8711538,418.9759063,55016ef2273a3961a60bd3a8,55016ef2273a3961a60bd3a8,0
9.194289137,0.703225162,168.4638979,1553.649256,55016c8e273a3961a605b198,55016c8e273a3961a605b198,0
-3.27058244,-0.582088124,-134.6622046,153.3892681,550171b2273a3961a612a7f5,550171b2273a3961a612a7f5,0
-7.299151263,-2.961913879,-211.8859351,599.1614158,55016e9e273a3961a60afa58,55016e9e273a3961a60afa58,0
-8.833689288,-0.19467168,215.292004,84.85111316,55016f1c273a3961a60c3e88,55016f1c273a3961a60c3e88,0
-0.723843048,-0.856509377,-38.09488111,82.47167393,55016e98273a3961a60aec18,55016e98273a3961a60aec18,0
-2.336972149,-1.31150033,-92.25237264,121.4006793,55017327273a3961a6163cd6,55017327273a3961a6163cd6,0
3.130500247,1.183889175,124.7738035,663.7109474,55016be8273a3961a6040bcc,55016be8273a3961a6040bcc,0
3.885056764,-2.786983772,138.4077789,393.2315708,55017398273a3961a61752c2,55017398273a3961a61752c2,0
7.633528056,-0.80233097,23.48150017,478.9881717,5501712c273a3961a6115dc0,5501712c273a3961a6115dc0,0
2.483240846,-2.785459732,71.46191769,2697.739286,55016cc8273a3961a6064f90,55016cc8273a3961a6064f90,0
-10.09624186,-1.194294593,-67.71892965,0,55016d1d273a3961a6072c74,55016d1d273a3961a6072c74,0
2.45485412,-1.624050495,113.3898346,223.5530467,5501701d273a3961a60eb654,5501701d273a3961a60eb654,0
-5.509776487,2.81522189,-127.9606912,824.1377932,55017319273a3961a6161806,55017319273a3961a6161806,0
-3.514913021,1.436157446,-137.7481826,147.1255474,55017089273a3961a60fc2c4,55017089273a3961a60fc2c4,0
8.287935405,-1.05207612,255.0337591,219.6642115,55017022273a3961a60ec5c4,55017022273a3961a60ec5c4,0
5.672549626,-1.820880697,2.616986688,0,55017375273a3961a616fd42,55017375273a3961a616fd42,0
0.729889259,0.381753113,-21.85238067,201.2704098,55016c7f273a3961a6058938,55016c7f273a3961a6058938,0
7.54439876,-0.435700481,164.5077539,1321.346282,55016d96273a3961a608684e,55016d96273a3961a608684e,0
-0.561923388,0.049096008,2.763653936,0,550172ad273a3961a6150f32,550172ad273a3961a6150f32,0
-1.916259553,-1.770237928,-82.23403466,45.86983559,55016f2a273a3961a60c6228,55016f2a273a3961a60c6228,0
-8.699022966,-1.733736153,35.01732012,0,55016cfb273a3961a606d6f0,55016cfb273a3961a606d6f0,0
0.123359609,0.016259604,5.825326548,1.654774281,55016bd7273a3961a603e108,55016bd7273a3961a603e108,0
-7.790233216,-0.613376157,212.7012387,825.1659347,55016ec9273a3961a60b68c8,55016ec9273a3961a60b68c8,0
