"id","wpca:d2","wpca:d1","name","color","r","result","opacity"
"5940",0.64250683734006,0.592817679558011,"5940","red",0.05,1,0.1
"5943",0.704491304723366,0.594475138121547,"5943","red",0.05,1,0.1
"5948",0.580713100571744,0.638121546961326,"5948","red",0.05,1,0.1
"5955",0.640155970104111,0.740331491712707,"5955","red",0.05,1,0.1
"5956",0.354375669892843,0.447630922693267,"5956","red",0.05,1,0.1
"5957",0.749069435911042,0.81767955801105,"5957","red",0.05,1,0.1
"5960",0.60701279223936,0.770718232044199,"5960","red",0.05,1,0.1
"5962",0.73065017918939,0.902762430939226,"5962","red",0.05,1,0.1
"5964",0.732326602052438,0.818232044198895,"5964","red",0.05,1,0.1
"5965",0.65577044847584,0.956353591160221,"5965","red",0.05,1,0.1
"5969",0.920611978323398,0.891160220994475,"5969","red",0.05,1,0.1
"5975",0.733720267874121,0.797790055248619,"5975","red",0.05,1,0.1
"5979",0.630601331361509,0.862430939226519,"5979","red",0.05,1,0.1
"5980",0.647835697718776,0.865745856353591,"5980","red",0.05,1,0.1
"5987",0.607228539010154,0.680110497237569,"5987","red",0.05,1,0.1
"5989",0.687759335252316,0.906077348066298,"5989","red",0.05,1,0.1
"5990",0.837053589621513,0.925414364640884,"5990","red",0.05,1,0.1
"5991",0.66500119280832,0.677348066298343,"5991","red",0.05,1,0.1
"5999",0.70467163418247,0.75414364640884,"5999","red",0.05,1,0.1
"6002",0.599689235832225,0.761878453038674,"6002","red",0.05,1,0.1
"6007",0.811681842727154,0.624309392265193,"6007","red",0.05,1,0.1
"6074",0.834523289169347,0.737016574585635,"6074","red",0.05,1,0.1
"6079",0.782033211549089,0.658563535911602,"6079","red",0.05,1,0.1
"6105",0.841533014410222,0.903314917127072,"6105","red",0.05,1,0.1
"6113",0.656610362214063,0.80939226519337,"6113","red",0.05,1,0.1
"6134",0.663655855303678,0.836760124610592,"6134","red",0.05,1,0.1
"6136",0.740822630952794,0.89060773480663,"6136","red",0.05,1,0.1
"6137",0.812315641123812,0.694475138121547,"6137","red",0.05,1,0.1
"6138",0.576125700920767,0.464640883977901,"6138","red",0.05,1,0.1
"6139",0.67348944641609,0.909944751381215,"6139","red",0.05,1,0.1
"6140",0.663286540266194,0.735911602209945,"6140","red",0.05,1,0.1
"6141",0.837837436168933,0.883977900552486,"6141","red",0.05,1,0.1
"6142",0.687832780845848,0.824861878453039,"6142","red",0.05,1,0.1
"6143",0.691355395408502,0.851381215469613,"6143","red",0.05,1,0.1
"6144",0.545837239811156,0.606077348066298,"6144","red",0.05,1,0.1
"6145",0.872439341848827,0.630939226519337,"6145","red",0.05,1,0.1
"6146",0.829807088596458,0.852486187845304,"6146","red",0.05,1,0.1
"6147",0.682438324547127,0.711049723756906,"6147","red",0.05,1,0.1
"6148",0.76626594725471,0.798342541436464,"6148","red",0.05,1,0.1
"6149",0.645410164823054,0.630939226519337,"6149","red",0.05,1,0.1
"6150",0.515138237981554,0.434254143646409,"6150","red",0.05,1,0.1
"6151",0.724607500294983,0.935911602209945,"6151","red",0.05,1,0.1
"6153",0.660130413283992,0.770165745856354,"6153","red",0.05,1,0.1
"6154",0.623529928206067,0.610497237569061,"6154","red",0.05,1,0.1
"6155",0.241169267520642,0.635616438356164,"6155","red",0.05,1,0.1
"6156",0.552661901292578,0.687292817679558,"6156","red",0.05,1,0.1
"6157",0.623869489252357,0.717127071823204,"6157","red",0.05,1,0.1
"6158",0.705578183338105,0.861325966850829,"6158","red",0.05,1,0.1
"6159",0.771536093243784,0.934806629834254,"6159","red",0.05,1,0.1
"6160",0.66317521756473,0.722651933701657,"6160","red",0.05,1,0.1
